Rk,Player,Pos,Age,Team,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,key
1,Nickeil Alexander-Walker,SG,27,ATL,6,213,7.7,.528,.606,.211,1.5,6.5,3.8,11.9,0.7,2.1,18.0,19.7,,-0.2,-0.1,-0.4,-0.083,,-1.7,-2.2,-3.9,-0.1,nickeil alexanderwalker
2,Grayson Allen,SG,30,PHO,2,38,19.4,.644,.846,.308,2.9,9.2,6.0,16.3,0.0,5.1,0.0,16.8,,0.2,0.0,0.1,.137,,6.1,-0.8,5.3,0.1,grayson allen
3,Jarrett Allen,C,27,CLE,18,529,20.7,.640,.000,.693,12.7,16.1,14.4,6.0,1.7,5.2,8.7,16.3,,1.4,0.5,2.0,.179,,2.7,1.1,3.7,0.8,jarrett allen
4,Jose Alvarado,PG,27,NYK,18,170,14.0,.538,.507,.090,1.5,14.9,8.6,17.8,3.0,1.2,12.6,20.6,,0.1,0.4,0.5,.131,,-2.2,2.8,0.6,0.1,jose alvarado
5,Kyle Anderson,SF,32,MIN,8,61,6.3,.365,.059,.471,3.3,9.2,6.1,33.6,1.6,0.0,22.6,18.1,,-0.1,0.0,-0.1,-0.077,,-3.8,1.3,-2.6,0.0,kyle anderson
6,OG Anunoby,PF,28,NYK,17,586,23.8,.721,.455,.449,3.2,17.3,10.6,7.1,2.2,3.4,4.0,18.5,,2.5,1.2,3.8,.308,,5.4,4.0,9.4,1.7,og anunoby
7,Deni Avdija,SF,25,POR,5,174,16.4,.562,.256,.603,1.8,19.0,9.7,24.3,0.6,1.6,14.7,28.7,,0.1,0.0,0.2,.049,,1.8,0.2,2.1,0.2,deni avdija
8,Deandre Ayton,C,27,LAL,10,285,14.8,.557,.000,.155,16.3,24.5,20.5,5.3,0.4,2.6,12.7,16.4,,0.3,0.2,0.6,.093,,-0.9,-1.7,-2.6,0.0,deandre ayton
9,Paolo Banchero,PF,23,ORL,7,273,20.1,.524,.294,.517,3.4,22.3,12.5,34.2,1.8,1.7,12.0,31.8,,0.2,0.5,0.6,.109,,4.2,2.3,6.5,0.6,paolo banchero
10,Desmond Bane,SG,27,ORL,7,253,13.6,.535,.527,.182,4.1,10.3,7.1,9.9,2.6,0.7,8.5,22.3,,0.1,0.3,0.5,.087,,1.2,0.8,2.0,0.3,desmond bane
